ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,Product Type,CHANNEL,Bank code,Fraud Category
0.2328767123287671,6,11,0.03428571428571429,0.011851777766665,2,0.0003633879384275477,1,1,0.06666666666666667,0.9999999999999998,4,3,0.0,8
0.410958904109589,5,11,0.01,0.00035005250787618143,4,0.00013081965783391718,0,1,0.13333333333333336,0.9999999999999998,3,3,0.0,8
0.4246575342465753,12,10,0.01,0.00035005250787618143,4,0.00019768303850458598,0,1,0.13333333333333336,0.9999999999999998,3,3,0.0,8
0.4246575342465753,12,11,0.009285714285714286,0.00035005250787618143,4,0.00030524586827914004,0,1,0.06666666666666667,0.9999999999999998,3,3,0.0,8
0.6986301369863013,5,6,0.002857142857142857,0.00035005250787618143,4,0.0005378141488727706,0,1,0.13333333333333336,0.9999999999999998,3,3,0.0,8
0.5753424657534247,10,0,0.005,0.00035005250787618143,4,0.00019865207300705944,0,1,0.06666666666666667,0.9999999999999998,3,3,0.0,8
0.3972602739726027,5,2,0.01,0.00035005250787618143,4,0.00018896172798232484,0,1,0.13333333333333336,0.9999999999999998,3,3,0.0,8
0.5890410958904109,10,11,0.014285714285714285,0.004850727609141371,4,0.0007122403593179935,0,1,0.09333333333333334,0.9999999999999998,4,0,0.2,8
0.547945205479452,12,4,0.05714285714285714,0.019852977946692003,4,0.0007471256014070381,0,1,0.09333333333333334,0.9999999999999998,4,0,0.2,8
0.3287671232876712,2,10,0.028285714285714286,0.009751462719407912,4,0.0008866665697632165,1,1,0.09333333333333334,0.9999999999999998,4,0,0.2,8
0.5068493150684932,12,2,0.02857142857142857,0.00985147772165825,4,0.001119234850356847,0,1,0.09333333333333334,0.9999999999999998,4,0,0.2,8
0.6986301369863013,10,2,0.028285714285714286,0.009751462719407912,4,0.0005184334588233014,0,1,0.09333333333333334,0.9999999999999998,4,0,0.2,8
0.6438356164383561,1,11,0.05714285714285714,0.019852977946692003,4,0.006933441865197611,0,1,0.09333333333333334,0.9999999999999998,4,0,0.2,8
